Test_Case,Producer_Rate,Environment,Message_Size,Percentile,Latency
TC01,100,STANDARD,100,0.003317629885210006,0.821
TC01,100,STANDARD,100,0.5009621126667109,2.497
TC01,100,STANDARD,100,1.0085594851038417,2.74
TC01,100,STANDARD,100,1.5294273770818128,2.763
TC01,100,STANDARD,100,2.060248158715414,2.775
TC01,100,STANDARD,100,2.5247163426448145,2.784
TC01,100,STANDARD,100,3.0323137150819455,2.791
TC01,100,STANDARD,100,3.5631344967155463,2.798
TC01,100,STANDARD,100,4.0674142392674675,2.804
TC01,100,STANDARD,100,4.502023754229978,2.809
TC01,100,STANDARD,100,5.009621126667109,2.814
TC01,100,STANDARD,100,5.6034768761197,2.819
TC01,100,STANDARD,100,6.124344768097671,2.823
TC01,100,STANDARD,100,6.502554575011612,2.826
TC01,100,STANDARD,100,7.142857142857143,2.831
TC01,100,STANDARD,100,7.607325326786544,2.834
TC01,100,STANDARD,100,8.051887731404685,2.837
TC01,100,STANDARD,100,8.506403025678456,2.84
TC01,100,STANDARD,100,9.017318028000796,2.843
TC01,100,STANDARD,100,9.634397186649858,2.847
TC01,100,STANDARD,100,10.122088779775728,2.85
TC01,100,STANDARD,100,10.629686152212859,2.853
TC01,100,STANDARD,100,11.0078959591268,2.855
TC01,100,STANDARD,100,11.538716740760401,2.858
TC01,100,STANDARD,100,12.132572490212992,2.861
TC01,100,STANDARD,100,12.693251940813482,2.864
TC01,100,STANDARD,100,13.051555968416164,2.866
TC01,100,STANDARD,100,13.661999867294805,2.869
TC01,100,STANDARD,100,14.225996947780505,2.872
TC01,100,STANDARD,100,14.607524384579657,2.874
TC01,100,STANDARD,100,15.052086789197798,2.876
TC01,100,STANDARD,100,15.626036759339128,2.879
TC01,100,STANDARD,100,16.13031650189105,2.882
TC01,100,STANDARD,100,16.50852630880499,2.884
TC01,100,STANDARD,100,17.105699688142792,2.887
TC01,100,STANDARD,100,17.576803131842613,2.889
TC01,100,STANDARD,100,18.134164952557892,2.891
TC01,100,STANDARD,100,18.618538915798553,2.893
TC01,100,STANDARD,100,19.232300444562405,2.895
TC01,100,STANDARD,100,19.547475283657356,2.896
TC01,100,STANDARD,100,20.121425253798687,2.898
TC01,100,STANDARD,100,20.731869152677326,2.9
TC01,100,STANDARD,100,21.01055006303497,2.901
TC01,100,STANDARD,100,21.54137084466857,2.903
TC01,100,STANDARD,100,22.02906243779444,2.905
TC01,100,STANDARD,100,22.61960055736182,2.907
TC01,100,STANDARD,100,23.176962378077103,2.909
TC01,100,STANDARD,100,23.721053679251543,2.911
TC01,100,STANDARD,100,24.241921571229515,2.913
TC01,100,STANDARD,100,24.517284851701945,2.914
TC01,100,STANDARD,100,25.061376152876385,2.916
TC01,100,STANDARD,100,25.704996350607125,2.918
TC01,100,STANDARD,100,26.03675933912813,2.919
TC01,100,STANDARD,100,26.650520867891977,2.921
TC01,100,STANDARD,100,27.25764713688541,2.923
TC01,100,STANDARD,100,27.57945723575078,2.924
TC01,100,STANDARD,100,28.22971269325194,2.926
